Genotype,value
PI656043,71.4199332095756
PI656044,68.4667388083297
PI656046,57.913480995529
PI656047,73.7410173325839
PI656048,69.5460417613059
PI656049,64.855841392319
PI656050,56.7859390445953
PI656051,74.7914135555228
PI656052,51.8462786284831
PI656053,69.47540699693
PI656055,58.8151348022856
PI656056,64.406902190398
PI656057,83.0558858728382
PI656058,67.8585162673604
PI656059,73.2149962287322
PI656060,53.9160048369136
PI656061,72.5897925833241
PI656062,71.4042512043977
PI656064,74.8419309277394
PI656068,67.514697424046
PI656069,74.7236659325836
PI656070,67.0508917339636
PI656071,67.8126835708317
PI656072,81.468682894098
PI656073,46.8529488330768
PI656074,51.8129288215464
PI656075,69.9660446945277
PI656076,62.0849105369839
PI656077,50.3948985559966
PI656078,52.5095909715973
PI656079,65.0750702790228
PI656080,54.8300233827389
PI656081,55.7871564019377
PI656082,72.1934992086763
PI656083,60.9120720102504
PI656084,62.9617003575221
PI656085,55.8278841072581
PI656086,57.8256204064825
PI656087,50.0310075478364
PI656088,62.6679084460868
PI656089,50.7488251479204
PI656090,51.2266704248656
PI656091,78.1057588945476
PI656092,76.0817564128582
PI656093,60.195970796849
PI656094,51.1249687268847
PI656095,51.6054031260931
PI656096,55.9820619658658
PI656097,69.9838381628694
PI656098,51.4840451451117
PI656099,79.5639612205012
PI656100,64.8814095051122
PI656101,46.9986138413899
PI656102,51.6641085896385
PI656103,54.6669211155787
PI656104,51.5671739711572
PI656105,53.040460653441
PI656106,63.7507728490453
PI656107,73.9616236985365
PI656108,49.6592772538762
PI656109,51.6897447138508
PI656110,59.4523473827776
PI656111,63.898996841904
PI656112,52.9879299645038
PI656113,51.3996857828613
PI656114,53.6084610547016
PI656115,58.6377694766643
PI656116,46.8885506056781
PI656117,65.8200986168274
PI656118,60.6302571271289
PI656119,52.4512486718375
PI656120,56.4992316348173
PI656121,51.418107075292
PI659691,76.1667305352404
PI659693,48.3470830775868
PI659694,64.5494653572204
PI659695,57.8884121162831
PI659696,60.0936036005107
PI659753,79.6644677990116
Tx430,66.3900554859379
