Genotype,value
PI533929,67.8808733278956
PI533930,67.5562369124537
PI533931,72.6493151261132
PI533932,76.0555280558836
PI533933,71.883728164507
PI533934,72.8558891084307
PI533935,66.0491435774992
PI533936,66.8514996738621
PI533937,62.9687779733836
PI533938,61.5670097616207
PI533939,64.3106527016401
PI533940,66.0061429572028
PI533941,62.9440322870027
PI533942,66.0623825870638
PI533943,70.6338763035593
PI533944,68.2019959199071
PI533946,73.1084773221055
PI533947,74.2525447106464
PI533948,71.9952711675071
PI533949,56.8510137603505
PI533950,61.5650326018283
PI533952,66.8453828441741
PI533953,64.7090148197646
PI533954,62.7779139662295
PI533955,66.1601847387513
PI533956,64.5364202078375
PI533957,63.6971252496915
PI533958,77.710162524626
PI533959,67.9327718660483
PI533960,61.6900782507254
PI533961,63.7065755485285
PI533962,66.9554679089779
PI533963,63.6920607767814
PI533964,70.4464895930403
PI533965,67.4453493208204
PI533966,67.85694043227
PI533967,78.4138638997237
PI533968,60.2952988317796
PI533969,72.7441640775915
PI533970,68.217009638847
PI533971,61.3577606660915
PI533972,73.6505580893812
PI533973,63.0936416987959
PI533974,70.6347848060945
PI533975,64.1471539153713
PI533976,64.8924575281193
PI533977,64.6379249780924
PI533978,58.8870569414947
PI533979,60.6077423530722
PI533980,74.184253293472
PI533981,63.7377080236175
PI533982,66.8859611102776
PI533983,72.4376958182005
PI533984,63.5598405874082
PI533985,65.4923418454459
PI533986,65.7330113242824
PI533987,57.8947062835428
PI533988,60.682291939823
PI533989,67.7155506730407
PI533990,61.5741220008805
PI533991,65.9963379343274
PI533992,69.6201954440846
PI533993,62.3533667806199
PI533994,69.4262367021048
PI533995,61.5385237412121
PI533996,64.204809385911
PI533997,65.0936193158856
PI533998,72.0220211236842
PI533999,65.5851873279644
PI534000,66.5626955934659
PI534001,77.6692537908606
PI534002,66.914209450111
PI534003,73.3846217464227
PI534004,76.8401256570802
PI534005,66.7396938759143
PI534006,82.6774026976013
PI534007,67.4161902556953
PI534008,67.2629523043716
PI534009,86.2902172392319
PI534010,79.2448792919395
PI534011,78.209906085265
PI534013,84.2414894607386
PI534014,79.4437108460107
PI534015,70.1287943950694
PI534016,77.016110777865
PI534017,73.7994021557444
PI534018,69.129704417593
PI534019,70.4363092814578
PI534020,78.3741280158436
PI534021,86.8428733056494
PI534022,78.8306290780737
PI534023,76.2996227714803
PI534024,80.6482245796311
PI534025,84.2112154762864
PI534026,70.4421143142477
PI534027,76.8729921471556
PI534028,74.1873363187875
PI534030,69.2303513299613
PI534031,74.5227560048631
PI534032,70.8872483343641
PI534033,74.3137346683599
PI534034,69.759204869169
PI534035,83.6352478597632
PI534036,79.8308696135839
PI534037,64.4286780806872
PI534038,68.5151712013108
PI534039,60.1135307019951
PI534040,63.3743697317716
PI534041,68.103739149205
PI534042,56.879845634896
PI534043,65.8191672746397
PI534044,66.8394010348288
PI534045,64.4608887832982
PI534046,64.1673564749664
PI534047,52.7920632402372
PI534048,77.6679581777134
PI534049,66.749798151019
PI534050,63.8017261171276
PI534051,70.8663993022034
PI534052,67.592498655855
PI534053,71.9534162661726
PI534054,75.532395376984
PI534055,65.0655431689786
PI534056,66.9101754791054
PI534057,64.671215723607
PI534058,59.8195776837772
PI534059,62.2602871860905
PI534060,61.4855859331563
PI534061,62.5154118886143
PI534062,76.1719063523021
PI534064,57.6791164402064
PI534065,62.2877635563648
PI534066,64.96080424851
PI534067,67.0309447378497
PI534068,69.5331010996069
PI534069,65.1944460440357
PI534070,60.0775173923376
PI534071,61.5522537361639
PI534072,61.4732731877263
PI534073,57.3468093471402
PI534074,71.7627957411771
PI534075,61.6402347814914
PI534076,63.5732839419521
PI534077,63.2839469138675
PI534078,58.2139624253607
PI534079,64.3638603119671
PI534080,61.0883575060969
PI534081,64.8360540503424
PI534082,62.8164416120349
PI534083,69.2284621926027
PI534084,58.6818748287929
PI534085,60.7120659598864
PI534086,68.408765137172
PI534087,74.0190994043958
PI534088,68.037024791282
PI534089,70.5626116631054
PI534090,61.8400710881445
PI534091,60.1309778062101
PI534092,65.0624847282768
PI534093,60.7831234241943
PI534094,68.9937720697946
PI534095,63.9387524512824
PI534096,73.185874719498
PI534097,66.1590240178525
PI534098,64.0992446789366
PI534099,63.5369700670908
PI534100,70.8553938129597
PI534101,67.2311158719352
PI534102,63.3776836953333
PI534103,63.1706114180105
PI534104,65.5918386840211
PI534105,65.4124507380298
PI534106,64.4416789339325
PI534107,66.5791360384437
PI534108,66.7935599852584
PI534109,67.9696963660082
PI534110,66.1722907859652
PI534111,64.4260182084035
PI534112,67.5502985825346
PI534113,70.2445423555862
PI534114,68.6014337418108
PI534115,64.9909452570425
PI534116,65.8888904654863
PI534117,63.3156012238436
PI534118,71.9236882261997
PI534119,64.523344363255
PI534120,76.1225712674828
PI534121,69.679840357221
PI534122,72.2601590463827
PI534123,63.7574290256606
PI534124,64.865015723906
PI534125,75.9849243279048
PI534126,66.6778196215291
PI534127,68.4470101863433
PI534128,71.1647943632478
PI534129,78.0983226017632
PI534130,70.1072398333473
PI534131,75.195473195619
PI534132,67.6793414246634
PI534133,72.5800621764985
PI534134,68.6881597790959
PI534135,76.8395453131572
PI534136,75.2153491789814
PI534137,72.6532158493845
PI534139,58.8859897191933
PI534140,64.032370948726
PI534141,69.7696982063488
PI534142,63.7819616398786
PI534143,66.7211361032907
PI534144,69.735462963922
PI534145,57.8819484503041
PI534146,66.1648542256202
PI534147,64.2500061898223
PI534148,67.3952776389213
PI534149,65.6346556812389
PI534150,74.0446781203516
PI534151,69.2167626139739
PI534152,66.8422677336764
PI534153,59.8260535088381
PI534154,75.3616600967048
PI534155,75.8083161146823
PI534156,74.9861065843448
PI534157,70.8756922988879
PI534158,65.4773723700605
PI534159,75.638173145031
PI534160,65.5149173849751
PI534161,87.145290003972
PI534162,69.6900951019213
PI534163,70.4132721861256
PI534164,64.1243306607131
PI534165,68.4463376053629
PI534166,57.4265920656104
PI534167,67.6649816944947
PI542406,79.0781681135025
PI542718,62.554102799464
PI548797,68.6705795837931
PI552861,65.4491338403851
PI561071,77.202035810027
PI561072,70.928067695667
PI561073,78.2825546039942
PI561472,75.4070503481939
PI564163,64.7538610336322
PI564164,73.7521229805932
PI564165,77.8757375371171
PI565121,65.8065446241007
PI574455,72.3096367595453
PI576130,76.5013897943553
PI576328,65.3660063554774
PI576329,65.5686666236797
PI576330,70.7050975304572
PI576331,83.4309318055528
PI576332,57.9963482340529
PI576333,68.7651775857287
PI576334,51.3652826061251
PI576335,63.8788905343637
PI576336,60.0588335764238
PI576337,64.3084671967144
PI576338,65.9321244849808
PI576339,63.3672881747168
PI576340,69.7243863284736
PI576341,59.0733632312569
PI576342,58.3879103414216
PI576343,64.2785215755297
PI576344,67.5435215143923
PI576345,70.1459631728644
PI576346,58.4281248468936
PI576347,53.9973007247097
PI576348,65.4261854240694
PI576349,64.7040888035431
PI576351,58.4850109842214
PI576352,68.9652648084837
PI576353,64.1948037722804
PI576354,71.3655548866635
PI576355,62.071984079092
PI576356,64.0362566698063
PI576357,61.5021107539871
PI576358,70.264907132704
PI576359,75.9633682572914
PI576360,76.6478092278339
PI576361,67.9544017374712
PI576362,77.4067582113736
PI576363,64.6942498328541
PI576364,62.1595724448548
PI576365,69.7151482639997
PI576366,59.1802773986205
PI576367,68.0847903505194
PI576368,68.0169862377964
PI576369,69.8741068907169
PI576370,65.6492056783973
PI576371,62.5030379665453
PI576372,68.8139181048405
PI576373,66.9600637079078
PI576374,73.2640259826974
PI576375,67.8840286192255
PI576376,66.8339303134395
PI576377,72.7570405975289
PI576378,68.8307017293296
PI576379,71.063602655304
PI576380,70.8857206408773
PI576381,74.0612704676085
PI576382,58.6982145418047
PI576383,57.8840856008756
PI576385,59.5016265233862
PI576386,76.0093705575093
PI576387,61.3645089388498
PI576389,66.1103697345234
PI576390,61.7337394413752
PI576391,72.047144515446
PI576392,61.4460459032243
PI576393,60.8056516889226
PI576394,66.4796625675422
PI576395,62.4759559249251
PI576396,67.5636615310867
PI576397,69.0024522425817
PI576398,72.5984256929948
PI576399,65.5406558818919
PI576400,64.9260797606604
PI576401,79.2830010015719
PI576402,75.0732636547684
PI576403,74.8023209784521
PI576404,58.3108880598286
PI576405,72.4884352703271
PI576406,74.1520652561326
PI576407,75.1159257315093
PI576408,64.1016225607003
PI576409,61.1233910610708
PI576410,66.6366388771283
PI576411,73.7716038207442
PI576412,70.4523650994751
PI576413,65.4067516871324
PI576414,64.8059125241589
PI576415,55.6093425906876
PI576416,58.0039628284201
PI576417,67.5500063264749
PI576418,75.855469726668
PI576419,57.2770415687397
PI576420,59.8834395069891
PI576421,64.2106237656841
PI576422,68.7752744590257
PI576423,72.4592362165343
PI576424,78.3190330148881
PI576425,65.7924011543159
PI576426,71.9889555428688
PI576427,59.3330996536907
PI576428,69.0471557680054
PI576429,65.0250449105484
PI576430,61.2603451583422
PI576431,61.7939004486272
PI576432,59.2007224623555
PI576433,72.0885794620346
PI576434,79.9365664464318
PI576435,67.0849437930688
PI576436,68.3935789260924
PI576437,64.1387431855719
PI585295,64.8617564907742
PI595699,75.9277714862534
PI595700,80.0181045090921
PI595701,62.5248725158254
PI595702,63.7756547868711
PI595703,75.6060004431356
PI595704,73.1578347386592
PI595705,62.8839517780011
PI595706,65.7392839257869
PI595708,65.7672029639839
PI595709,64.3920317011372
PI595710,72.232338338758
PI595711,72.0783790509286
PI595712,58.07839068879
PI595713,70.1303478640141
PI595714,61.8861291784925
PI595715,60.6429094214846
PI595716,59.9241792676551
PI595717,70.6174773052153
PI595718,58.6166304989349
PI595719,82.1571640443595
PI595720,62.3977321912286
PI595721,63.2232417220709
PI595722,67.3539591356106
PI595723,61.1471969763171
PI595724,68.0612494210738
PI595725,64.2075100275485
PI595726,67.2674303725048
PI595727,62.7724790543404
PI595728,76.7218148595715
PI595729,59.4412122025014
PI595730,50.0189197366148
PI595731,71.973571804439
PI595732,69.4369742421836
PI595733,65.4332600123038
PI595734,64.7372710249374
PI595735,65.5947842295606
PI595736,62.9555562690939
PI595737,64.8401427833009
PI595738,68.1506910558514
PI595739,68.6015002902653
PI595740,72.5178696535835
PI595741,65.9191893357815
PI595742,68.2923776324117
PI595743,75.5943846474888
PI595744,64.7646105315071
PI595746,72.286394918266
PI595747,61.9453308973084
PI595748,76.2982587896792
PI597943,76.2671780283151
PI597944,66.6422360608156
PI597945,62.7224017295738
PI597946,61.971460062186
PI597947,62.1510799209675
PI597949,78.4045420538272
PI597950,63.8871032032538
PI597951,67.064246873707
PI597952,62.6045751637658
PI597953,54.9275159691595
PI597954,63.884395960817
PI597955,61.10735410647
PI597956,62.000752764392
PI597957,66.6482731609349
PI597958,67.1655604566669
PI597959,58.6164129722018
PI597960,71.9431498740398
PI597961,63.7901658272954
PI597962,67.24118669431
PI597963,63.4969068514686
PI597964,73.2007946083545
PI597965,61.424270823414
PI597966,66.192444753905
PI597967,67.9876616015915
PI597968,61.8115849269201
PI597969,68.485008241286
PI597970,61.1631263840155
PI597971,65.751893830588
PI597972,64.029358771563
PI597973,68.690694606038
PI597974,57.6034277429597
PI597975,58.3101808534936
PI597976,61.6182334695506
PI597977,51.0737757345414
PI597978,65.3444463848649
PI597979,60.5259155993959
PI597980,60.7062224247134
PI597981,58.6025620264483
PI597982,59.688049630332
PI601816,67.6111037891479
PI607931,73.8966016055481
PI609456,68.6000356991298
PI613536,69.444800545594
PI629034,66.6730982635934
PI629040,75.853989290502
PI629059,67.0121556778239
PI641849,59.7275733479425
PI641874,66.3587698910334
PI642791,67.6506564931467
PI642793,66.2022806948384
PI642992,68.4057970429282
PI642998,66.1850999846654
PI651496,82.806171509813
PI655970,77.0155507379786
PI655971,59.4737265522076
PI655972,71.6505885509912
PI655973,68.6576193953363
PI655974,69.655876970667
PI655975,68.9442180035289
PI655976,66.4524239562849
PI655977,66.3080493199069
PI655978,68.5408214295584
PI655979,65.3164378565182
PI655981,67.7830991478588
PI655986,69.0075389302031
PI655987,64.3991279462147
PI655992,65.4694639084383
PI655993,65.5886954463728
PI655994,64.5301198906779
PI655995,76.7690606709089
PI655996,68.9937047260088
PI655997,65.8993365515557
PI655998,62.1315796277399
PI655999,68.2357805073436
PI656000,63.6914539952545
PI656001,79.7606622882125
PI656002,67.6393232506122
PI656003,73.0933852415728
PI656004,69.7159144038693
PI656005,66.4365887499536
PI656006,71.8707269090786
PI656007,67.1841160331391
PI656008,69.5746395937273
PI656009,74.6077357244938
PI656010,67.1042776448154
PI656011,75.2502939976872
PI656012,77.7718356134768
PI656013,66.0157967357997
PI656014,76.0973529672022
PI656015,75.5454130839077
PI656016,65.5979302254361
PI656017,87.6781899802414
PI656018,72.223151125861
PI656019,60.5319448376216
PI656020,65.1177732478543
PI656021,62.393136425361
PI656022,63.4761712470615
PI656023,67.1085254014653
PI656024,75.0337582111189
PI656025,69.1290116358917
PI656026,70.2765543922001
PI656027,72.6658282761156
PI656028,76.6008090454004
PI656029,72.8118798516012
PI656030,57.9697266349784
PI656031,65.3033874266495
PI656032,80.7084130176182
PI656034,74.7264250417507
PI656035,64.4440892551636
PI656036,74.3888576937139
PI656037,72.0433307123126
PI656039,68.5069075387694
PI656040,74.1816730613284
PI656041,74.3674542207954
PI656042,73.1945400384531
PI656043,60.6195048925433
PI656044,71.6834623110047
PI656046,67.3124220059566
PI656048,74.2024914614003
PI656049,73.6512260543508
PI656050,66.2691039398666
PI656051,76.1505665418855
PI656052,62.7587282722347
PI656053,70.6402806279836
PI656055,66.1237096320862
PI656056,72.6028739063106
PI656057,76.8071548741598
PI656058,69.2177943059739
PI656059,72.4559782099719
PI656060,64.402651729749
PI656061,77.2996843656559
PI656062,75.5534923626363
PI656063,67.2876451167845
PI656068,72.3253892872776
PI656069,80.8992162851653
PI656070,69.3248638219856
PI656071,74.2795683622234
PI656072,80.2755649649519
PI656073,78.1258773763787
PI656074,65.9991053023175
PI656075,76.067802426864
PI656076,65.8991497462204
PI656077,61.3529148766798
PI656078,70.0894036885322
PI656079,63.7092980086987
PI656080,63.9120986877658
PI656081,56.8304848838152
PI656082,78.9942067215808
PI656083,64.9277860497423
PI656084,67.5435125215322
PI656085,58.2645326574901
PI656086,69.1426874371307
PI656087,59.2627214707815
PI656088,70.148914435231
PI656089,62.1532966621367
PI656090,66.5595570407039
PI656091,78.6024439435332
PI656092,79.9888138040385
PI656093,68.5574957095822
PI656094,63.6236203588214
PI656095,61.5135774574924
PI656096,64.4919033643553
PI656097,82.1272241364434
PI656098,60.8448009160342
PI656099,83.6812918875946
PI656100,77.3688533949594
PI656101,56.9128460461538
PI656102,66.2974295454134
PI656103,62.3752462080309
PI656104,61.6814734166644
PI656105,64.2337176804704
PI656106,68.8976092410482
PI656107,74.9563421201138
PI656108,60.3238795700568
PI656109,60.5314286407607
PI656110,66.9145741151915
PI656111,73.8021608252957
PI656112,64.0708906690869
PI656113,73.2678038723293
PI656114,68.799493413332
PI656115,69.1039374886499
PI656116,60.5679053409998
PI656117,72.8517266721669
PI656118,70.5537142937842
PI656119,64.27134977104
PI656120,63.6660115391707
PI656121,60.9746791071007
PI659691,75.3852215536581
PI659693,50.3477336839682
PI659694,67.181843054841
PI659695,66.8552137190799
PI659696,65.2209426782492
PI659753,88.3811979729544
RTAM2566,65.5302422752682
RTX2737,63.9792156848071
RTx2783,73.088423548835
RTx2917,68.3259144722905
RTx430,68.1156034785356
SanChiSan,61.7023079104473
SC0003,62.899562754129
SC0027,74.8028854613577
SC0041,60.3075746958535
SC0092,72.1450435607132
SC0138,62.3405052521921
SC0150,66.2955246940597
SC0156,71.3023858924667
SC0157,64.6099562421806
SC0159,72.6000336131732
SC0178,72.1419814292893
SC0179,65.8292318052304
SC0190,58.4368968227917
SC0191,63.8114739389794
SC0201,76.6254417842324
SC0235,73.8143441207256
SC0236,68.6856906706771
SC0247,67.721578637696
SC0249,64.4543243609243
SC0263,65.5850659633365
SC0266,58.0598802902614
SC0276,61.4626399370719
SC0287,52.7713945184858
SC0297,58.7372359077713
SC0314,64.734897851619
SC0343,63.2498072809175
SC0371,67.347399008919
SC0400,53.7912244531309
SC0409,62.7417577031671
SC0412,63.5503939713637
SC0436,67.232155953431
SC0438,65.2302367492359
SC0445,74.707638507722
SC0448,79.2783290484436
SC0456,65.2170367211839
SC0458,75.0291718800028
SC0463,69.9437715465375
SC0470,72.7837423357443
SC0479,82.8906079864246
SC0505,72.5984009821601
SC0517,60.7704016858174
SC0521,62.8906459956474
SC0540,60.2281518530674
SC0542,60.9932734891969
SC0547,61.594581269363
SC0550,62.3264948695701
SC0551,62.0846468460234
SC0556,62.6787825710819
SC0581,81.6729163281279
SC0582,77.1600478752597
SC0602,65.8506288652656
SC0604,59.6289237559999
SC0615,62.8724340342008
SC0616,66.2072017118351
SC0618,72.4845183894487
SC0631,63.8888839490336
SC0636,76.7764886613118
SC0640,66.5097972586107
SC0652,59.5588796162823
SC0685,59.3156647030549
SC0713,59.3462062385763
SC0741,69.4211858012593
SC0747,61.2278211915812
SC0753,65.7015702099838
SC0759,60.38573877408
SC0777,66.2443884409249
SC0814,73.8568170818406
SC0823,66.2769000994662
SC0834,69.3544382448067
SC0837,73.8260848036235
SC0847,63.2105097986468
SC0848,64.6849010588168
SC0854,65.906412361625
SC0858,66.9028306448429
SC0860,67.2059738875368
SC0864,64.0969799999159
SC0868,66.1139136971843
SC0870,76.3596921626453
SC0871,75.8545545000139
SC0877,71.3761764269157
SC0878,67.0062590937155
SC0893,68.5008681131275
SC0895,69.1531243598777
SC0914,67.2892769348722
SC0921,75.5804700648538
SC0923,71.9182794885862
SC0965,52.2368406116232
SC0999,72.1227471834093
SC1021,68.3273556258415
SC1023,70.287832516612
SC1024,71.0723241012656
SC1058,68.7342450556172
SC1082,52.5622285860361
SC1097,72.4788650933387
SC1107,63.4340279510033
SC1114,59.2789707782122
SC1119,65.4221212404264
SC1120,66.9082786998243
SC1133,60.5712985190866
SC1166,68.243048003165
SC1170,61.5570021676101
SC1178,60.3498091987209
SC1193,71.8467357538146
SC1216,71.54851971481
SC1442,61.8064369821102
SC1446,61.9870481579067
Segaolane,67.3693203592548
ShanQuiRed,62.3309901296359
Tx430,66.7549270553054
Intercept,125.939338528805
