plot,Rep,Row,Column,PINumber,Plant Height.sp,DaysToFlower.sp,TillersPerPlant.sp,StemDiameterLower.sp,StemDiameterUpper.sp,PaniclesPerPlant.sp,LeafNumber.sp,LeafLength.sp,LeafWidth.sp,SeedMassPerPlant.sp,SeedProtein.sp,SeedOil.sp,SeedAsh.sp,SeedStarch.sp,SeedMoisture.sp
4188,4,15,15,PI564164,0.987266085,69.86392856,0.298863366,20.61203599,9.268027277,1.329252398,11.99390296,57.67539658,7.26199435,45.36896091,14.6953098,4.316474217,1.576061643,71.66097005,8.116329621
4189,4,15,16,PI576432,1.110821963,64.32079585,0.639922581,NA,NA,1.084470409,9.485947346,66.849458,7.204015534,45.56128085,12.19779528,4.368732653,1.559449611,73.53923963,8.03136607
4190,4,15,17,PI533986,1.004362725,66.78702218,0.974305813,19.28651431,10.14211271,1.08982535,9.648018715,63.18851924,7.755569616,45.93258599,13.5000388,4.355988785,1.548411373,72.46963529,8.213307581
4191,4,15,18,PI656048,1.137896848,69.75298151,0.311892957,19.7823939,9.224122033,1.095359274,11.14012186,61.69758023,7.610774473,40.26539366,12.58422725,4.648242465,1.358439317,75.22717998,8.091271131
4192,4,15,19,PI34911,1.346429845,68.73126319,0.977873523,19.95543538,9.751104106,1.101106149,11.96226433,64.45164092,7.463856704,44.1867661,13.85179452,4.385493931,1.475088845,71.97193949,8.028680664
4193,4,15,20,PI576412,1.154963953,67.73873524,0.812603219,NA,NA,1.107095012,9.789450692,64.47570127,7.229382542,37.56784662,14.30114101,3.917743801,1.593772385,73.62253899,8.213225448
4194,4,15,21,BTx378,1.073500346,67.78635303,0.311475661,NA,NA,1.113351333,10.44668062,65.73476129,6.872232999,41.44559963,13.77675911,4.394993006,1.474580858,73.4051613,8.226692169
4195,4,15,22,PI576370,0.742044573,65.87600908,0.309770325,17.34292373,8.586875611,1.119894699,8.438951772,61.22382105,7.082278524,31.57198155,16.68951232,3.2472426,1.802087309,70.78304589,7.754396125
4196,4,15,23,PI533856,1.010602272,73.50351845,0.307736712,20.23066167,10.47874372,1.126739518,12.26626162,69.64788059,7.674267302,29.41230624,14.9185531,4.484493445,1.700540516,72.05625592,8.415249769
4197,4,16,10,PI597973,1.054081236,68.41501813,0.25943579,18.75168249,9.497681179,1.095150449,10.03896854,70.92921708,7.667275905,18.86537389,17.48125734,3.398913391,1.80676146,67.96558609,8.670350111
4198,4,16,11,PI533785,0.962728395,66.76850383,0.266821016,18.75922955,8.934757699,1.103805992,9.365164377,64.44183262,6.190210995,27.23200655,14.22669439,4.106161113,1.608782902,71.74095994,7.996626898
4199,4,16,12,PI656083,1.406377245,66.62244054,0.774428584,20.45127275,10.22682985,1.112505522,10.02136528,62.11944822,7.54812992,43.4360803,13.35648306,4.418408537,1.484965231,73.94472013,8.46004652
